Spanish,English,Type
"romper
","romper
"
"romper con
","romper con
"
"saber
","saber
"
"sacar
","sacar
"
"sacar (buenas) notas
","sacar (buenas) notas
"
"sacar a pasear (el perro)
","sacar a pasear (el perro)
"
"sacar buenas notas
","sacar buenas notas
"
"sacar entradas
","sacar entradas
"
"sacar fotos
","sacar fotos
"
"sacar malas notas
","sacar malas notas
"
"salir
","salir
"
"saltar
","saltar
"
"salvar
","salvar
"
"seguir
","seguir
"
"sentarse
","sentarse
"
"sentir(se)
","sentir(se)
"
"sentir, lamentar
","sentir, lamentar
"
"separar
","separar
"
"ser (permanent), estar (temporary)
","ser (permanent), estar (temporary)
"
"ser miembro de
","ser miembro de
"
"servir
","servir
"
"sobrevivir
","sobrevivir
"
"solicitar un puesto de trabajo
","solicitar un puesto de trabajo
"
"sonreír
","sonreír
"
"subir
","subir
"
"subir
","subir
"
"sufrir
","sufrir
"
"suspender (un examen)
","suspender (un examen)
"
"telefonear
","telefonear
"
"tener
","tener
"
"tener calor/frío
","tener calor/frío
"
"tener cuidado
","tener cuidado
"
"tener éxito
","tener éxito
"
"tener ganas de
","tener ganas de
"
"tener hambre
","tener hambre
"
"tener hijos
","tener hijos
"
"tener lugar
","tener lugar
"
"tener prisa
","tener prisa
"
"tener que + infinitive
","tener que + infinitive
"
"tener razón
","tener razón
"
"tener sed
","tener sed
"
"tener sueño
","tener sueño
"
"tener suerte
","tener suerte
"
"terminar
","terminar
"
"tirar
","tirar
"
"tocar
","tocar
"
"tomar
","tomar
"
"tomar el sol
","tomar el sol
"
"broncearse
","broncearse
"
"tomar parte/participar (en algo)
","tomar parte/participar (en algo)
"
"torcer
","torcer
"
"trabajar
","trabajar
"
"trabajar duro/mucho
","trabajar duro/mucho
"
"traducir
","traducir
"
"traer
","traer
"
"tratar
","tratar
"
"tratar de
","tratar de
"
"usar, utilizar
","usar, utilizar
"
"valer
","valer
"
"valer la pena
","valer la pena
"
"valorar
","valorar
"
"vender
","vender
"
"venir
","venir
"
"ver
","ver
"
"vestirse
","vestirse
"
"viajar
","viajar
"
"visitar
","visitar
"
"vivir
","vivir
"
"volver
","volver
"
"volverse
","volverse
"
